Timestamp,Where is the closest major city or hub?,Biotech sub industry?,Company or Institution Name,Company Details - public/private/start-up/ subsidiary of,Company Detail - Approximate Company Size,Role / Title of current position,Highest achieved Formal Education,Years of Experience,Compensation - Annual Base Salary/Pay,Compensation - Annual Target Bonus ($),Compensation - Annual Equity,Compensation - Sign on Bonus Value,[OPTIONAL] Sign on - Relocation Assistance Total Value,What country do you work in?,Compensation - Overtime Pay,[Optional] Company Review,[Optional] Briefly describe your position,List other relevant and recognized certifications,Compensation - Retirement Benefits (free text),Compensation - Healthcare Benefits (free text),Compensation - Stock Options,Compensation - Most recent annual yearly raise (%),Compensation - Options,Have you one a post-doc?
10/27/2022 14:42:10,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior manager,Bachelors or Equivalent,7,140000,16%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/30/2022 3:09:38,San Diego,Pharmaceutical (including “big pharma”),NA,Private,200-1000,CQV Engineer II,Bachelors or Equivalent,4,110000,10%,Not Applicable/None,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/8/2022 21:41:12,RTP,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Research Associate II,Bachelors or Equivalent,3,74000,7400,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/16/2022 13:00:03,Boston,Pharmaceutical (including “big pharma”),NA,Public,1-50,Associate Director,PhD or Equivalent,13,180000,20%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 8:58:48,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Engineer II,Masters or Equivalent,6,102000,15000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 9:23:56,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Proceeds Engineer,Masters or Equivalent,3,100000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 9:30:01,San Diego,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Manager,PhD or Equivalent,9,160000,13,Not Applicable/None,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 10:43:03,NYC,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Manager,PhD or Equivalent,5,175000,29750,15350,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 11:14:19,Bay Area,NGS,Integrated DNA Technologies,Subsidiary,1000-5000,Research Scientist II,Bachelors or Equivalent,4,87800,4390,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 14:05:44,"Houston,TX",Pharmaceutical (including “big pharma”),NA,Private,50-200,"QC, EM Technician",Bachelors or Equivalent,1,49920,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 15:00:26,Boston,Pharmaceutical (including “big pharma”),Sana Biotechnology,Public,200-1000,Research associate,Associate’s Degree or Equivalent,0,68000,5440,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 15:10:30,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Associate Scientist,Bachelors or Equivalent,10,115000,14000,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 15:23:53,Boston,Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Public,5000+,Senior Specialist,Bachelors or Equivalent,5,98500,7880,7500,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 17:19:40,san diego,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist II,PhD or Equivalent,6,140000,15%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 23:13:34,"Boulder (remote, company in Bay)",Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Computational biologist,PhD or Equivalent,1,125000,Not Applicable/None,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 23:15:09,"Boulder, CO",Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist I,PhD or Equivalent,0,93000,Not Applicable/None,some but company is not worth much,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/17/2022 23:48:01,Boston,Pharmaceutical (including “big pharma”),Flagship Pioneering,Start-up,1-50,Senior Scientist,PhD or Equivalent,6,150000,Not Applicable/None,Not Applicable/None,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/18/2022 21:08:22,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Sr. Scientist,PhD or Equivalent,0,157000,15700,Not Applicable/None,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/21/2022 18:23:32,Bay Area,Academia/Research,NA,Public,50-200,Scientist I,PhD or Equivalent,0,120000,12000,9500,10000,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/22/2022 12:01:53,San Francisco,Academia/Research,NA,Start-up,1-50,Bioinformatics Scientist,PhD or Equivalent,0,154000,10%,2500 shares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/22/2022 14:18:51,Boston,Pharmaceutical (including “big pharma”),Broad Institute,Academia/College/Universities,1000-5000,Senior Research Scientist,PhD or Equivalent,5,130000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/23/2022 11:22:16,"Madison, Wisconsin",Medical Devices,NA,Start-up,1-50,Clinical Trial Manager,Bachelors or Equivalent,3,61000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/24/2022 13:13:35,Bay Area,Pharmaceutical (including “big pharma”),Recursion Pharmaceuticals,Public,200-1000,Scientist,PhD or Equivalent,10,120000,Not Applicable/None,25000,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/24/2022 23:31:47,San francisco,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,sr. scientist,PhD or Equivalent,5,135000,13500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/26/2022 12:34:10,"Boulder, CO",Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Senior Scientist II,PhD or Equivalent,7,145000,14500,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/27/2022 5:44:35,Canada,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Senior Scientist,PhD or Equivalent,6,100000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/27/2022 12:22:32,Dc,Pharmaceutical (including “big pharma”),Fda,Government,5000+,Medical officer,M.D./PharmD/D.D.S. or Equivalent,5,157000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 13:57:03,Bay Area,Pharmaceutical (including “big pharma”),BioMarin Pharmaceutical,Private,1000-5000,Research Associate 1,Bachelors or Equivalent,2,75550,12% ($9066),7000,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 14:23:30,Nyc metro,Biotech,NA,Public,200-1000,AD Clin Ops,PhD or Equivalent,20,180000,15%,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 14:47:06,Oakland,Pharmaceutical (including “big pharma”),NA,Public,50-200,Senior Associate,Masters or Equivalent,5,113300,7500,150000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 15:11:02,New Jersey,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Principal Scientist,PhD or Equivalent,3,160000,21600,Not Applicable/None,30000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 15:29:13,Worcester MA,Pharmaceutical (including “big pharma”),NA,Public,5000+,Supervisor,High School or Equivalent,14,117000,10000,Not Applicable/None,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 17:04:13,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Principal associate scientist,Bachelors or Equivalent,5,104500,15000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 17:13:13,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Research Associate,Bachelors or Equivalent,1,70000,7000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 18:28:31,RTP,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Associate I,Bachelors or Equivalent,10,93000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 20:08:21,New Jersey,Pharmaceutical (including “big pharma”),BMS,Public,5000+,Manager,PhD or Equivalent,6,125,13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/28/2022 22:16:13,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Sr Scientist,PhD or Equivalent,14,130000,11%,Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/29/2022 16:24:46,Brazil,Pharmaceutical (including “big pharma”),Libbs,Private,1000-5000,Bioprocess Leader,Bachelors or Equivalent,6,24,2,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/2022 10:12:25,"Cambridge, MA",Pharmaceutical (including “big pharma”),NA,Private,5000+,Operational Excellence Specalist,Bachelors or Equivalent,4,110000,11500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/30/2022 15:21:30,New York City,Pharmaceutical (including “big pharma”),Roivant Sciences,Public,200-1000,Senior Investigator,PhD or Equivalent,2,120000,12000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/2/2022 14:43:53,RTP,CDMO,NA,Subsidiary,1000-5000,Scientist I,PhD or Equivalent,0,95000,5000,10000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/9/2022 8:48:23,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist II,PhD or Equivalent,2,120000,18000,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/11/2022 5:24:45,U.K,Pharmaceutical (including “big pharma”),NA,Public,5000+,Research scientist,PhD or Equivalent,0,55000,12%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/12/2022 13:58:24,Boston,Medical Devices,Philips Healthcare,Public,5000+,Chief Medical Officer,M.D./PharmD/D.D.S. or Equivalent,15,350,150000,105000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/13/2022 19:14:48,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist 1,Masters or Equivalent,9,135000,13500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/15/2022 17:46:47,Philadelphia,Pharmaceutical (including “big pharma”),NA,Public,5000+,Senior Associate Engineer,Bachelors or Equivalent,5,114000,"10,000",Not Applicable/None,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/17/2022 11:28:31,"San Diego, CA",Biotech,NA,Start-up,50-200,Research Associate I,Bachelors or Equivalent,2,80000,4000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/20/2022 23:11:17,Maryland,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Senior Engineer,PhD or Equivalent,6,125000,22500,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/22/2022 0:38:10,Philadelphia,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Automation scientist,Bachelors or Equivalent,5,110000,10%,3000,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/22/2022 23:03:41,Boston,Pharmaceutical (including “big pharma”),Alkermes,Public,1000-5000,Associate director,PhD or Equivalent,6,178000,36000,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/27/2022 5:07:27,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Principal Scientist,PhD or Equivalent,0,180000,27000,27000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/28/2022 12:57:04,Bay Area,Academia/Research,NA,Start-up,50-200,Associate Scientist,PhD or Equivalent,0,100000,10000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/28/2022 13:03:57,Rehovot,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Sr. Scientist,PhD or Equivalent,0,71000,Not Applicable/None,Not Applicable/None,12000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/28/2022 16:23:41,Denver,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Scientist I,PhD or Equivalent,3,100000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/28/2022 18:36:14,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,5000+,Research scientist,PhD or Equivalent,5,175000,15%,25000,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/29/2022 3:25:54,Seattle Area,Medical Devices,NA,Start-up,50-200,Lab Tech,Bachelors or Equivalent,6,87000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/29/2022 11:02:35,Boston,Agriculture/Food,NA,Private,50-200,Associate Director,PhD or Equivalent,8,162000,24300,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/29/2022 21:55:08,Philadelphia,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Manufacturing specialist,Bachelors or Equivalent,1,67000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/6/2023 16:30:43,"Cambridge, MA",Pharmaceutical (including “big pharma”),RNA Drug Company,Public,1000-5000,Scientist,PhD or Equivalent,1,120000,15%,20000,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/14/2023 19:47:04,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Operations Engineer II,Bachelors or Equivalent,2,77000,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 3:56:28,Dublin,Pharmaceutical (including “big pharma”),NA,Public,5000+,Process Engineer,Masters or Equivalent,4,68000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 9:56:49,Philadelphia,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Sr. Process Engineer,PhD or Equivalent,9,13600,10%,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 18:30:08,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Director,PhD or Equivalent,5,170000,34000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 19:56:28,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Clinical Trial Associate,Masters or Equivalent,5,103000,"10,300",5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 19:57:59,San Diego,Medical Devices,NA,Public,1000-5000,Staff Program Manager,Bachelors or Equivalent,7,150000,22500,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/18/2023 20:52:15,Philadelphia,Pharmaceutical (including “big pharma”),NA,Private,200-1000,Sr Scientist,PhD or Equivalent,8,110000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 8:48:10,"USA, ALBANY",Pharmaceutical (including “big pharma”),Eurofins PSS,Public,5000+,Scientist II,Bachelors or Equivalent,6,56680,Not Applicable/None,Not Applicable/None,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 10:15:55,"Ames, IA NADC",Agriculture/Food,USDA-ARS,Government,5000+,Biological Sciences laboratory technician,Masters or Equivalent,2,46000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 11:31:20,Boston,Academia/Research,NA,Start-up,1-50,Director,PhD or Equivalent,10,130000,45500,Not Applicable/None,0,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 11:39:20,"Tucson, Az.",Pharmaceutical (including “big pharma”),NA,Public,1-50,Manufacturing technician I,Bachelors or Equivalent,2,55000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 11:59:30,College Station TX,Pharmaceutical (including “big pharma”),NA,Public,200-1000,QC raw materials II,Bachelors or Equivalent,2,57000,Not Applicable/None,Not Applicable/None,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 14:04:39,Bay Area,Industry,NA,Start-up,50-200,R&D Support Manager,Masters or Equivalent,7,155000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 14:21:30,San Diego,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Director,Masters or Equivalent,10,233000,"46,000",40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 17:35:25,San Diego,services,NA,Private,50-200,Research Associate II,Masters or Equivalent,1,64500,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 19:35:48,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr. Scientist,PhD or Equivalent,1,118000,17700,7000,NA,14500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/19/2023 22:35:09,Boston,Pharmaceutical (including “big pharma”),NA,Private,200-1000,Principal Scientist,PhD or Equivalent,8,190000,30000,Not Applicable/None,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2023 4:43:06,"Boston, MA",Pharmaceutical (including “big pharma”),NA,Private,5000+,Postdoc,PhD or Equivalent,0,80000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2023 10:12:29,San Diego,Pharmaceutical (including “big pharma”),NA,Public,5000+,Scientist,PhD or Equivalent,0,127500,12400,10000,NA,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2023 18:25:00,U.K,Pharmaceutical (including “big pharma”),NA,Private,1000-5000,Senior Research Associate,Bachelors or Equivalent,4,40300,4000,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/21/2023 22:56:58,Seattle WA,Medical Devices,NA,Public,5000+,Senior Statistician,Masters or Equivalent,3,130000,13000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/22/2023 1:35:08,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Director,PhD or Equivalent,12,205000,41000,30000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/22/2023 13:40:37,Philadelphia,Pharmaceutical (including “big pharma”),Merck,Public,5000+,Engineering Specialist,Bachelors or Equivalent,2,92200,7300,Not Applicable/None,5000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/23/2023 14:58:46,San Diego,Pharmaceutical (including “big pharma”),NA,Public,50-200,Lab Automation Specialist/Engineer,Bachelors or Equivalent,11,115000,13800,"ESPP, RSU Grants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/27/2023 23:39:42,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr director,M.D./PharmD/D.D.S. or Equivalent,12,320000,25,50000,100000,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/28/2023 7:46:07,Chicago,Pharmaceutical (including “big pharma”),NA,Public,5000+,Principal Scientist 1,PhD or Equivalent,16,155000,16000,10000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/30/2023 20:23:04,"Houston, TX",Academia/Research,Rice University,Academia/College/Universities,NA,Postdoctoral researcher,PhD or Equivalent,0,60000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/3/2023 15:22:18,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,50-200,Sr. Research Associate,Bachelors or Equivalent,3,102000,12500,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/6/2023 10:37:43,Canada,Pharmaceutical (including “big pharma”),Gilead,Public,5000+,Associate Scientist,Masters or Equivalent,9,95000,15000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/6/2023 13:01:15,Washington DC (Rockville MD) USA,Pharmaceutical (including “big pharma”),GSK,Public,5000+,"Director, Clinical Sciences Lead",PhD or Equivalent,18,206000,"37,000","37,000",130000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/12/2023 10:35:30,Boston,Pharmaceutical (including “big pharma”),Abbvie,Public,5000+,Sr. Scientist II,PhD or Equivalent,15,145000,17400,21000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/12/2023 20:14:07,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Bioinformatics scientist,Masters or Equivalent,3,114000,8000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/13/2023 22:28:25,"New Jersey, USA",Pharmaceutical (including “big pharma”),Bristol Myers Squibb,Private,5000+,Associate Scientist,Bachelors or Equivalent,1,80000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/15/2023 1:04:38,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,1-50,Research Associate,Bachelors or Equivalent,0,82000,Not Applicable/None,Not Applicable/None,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/16/2023 20:12:53,Boston,Pharmaceutical (including “big pharma”),NA,Public,5000+,Sr Scientist,PhD or Equivalent,7,133000,11000,Not Applicable/None,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2023 7:29:35,Boston,Pharmaceutical (including “big pharma”),NA,Private,5000+,Research scientist,Masters or Equivalent,1,83000,7000,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2023 10:16:09,"Berkeley, CA",Academia/Research,NA,Academia/College/Universities,5000+,Application Programmer 4,Bachelors or Equivalent,10,100000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2023 11:47:05,Los Angeles (company is in Bay),Cancer diagnostics,NA,Public,200-1000,Bioinformatics pipeline engineer,Masters or Equivalent,0,120000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/23/2023 20:02:55,Boston,Biotech,NA,Start-up,1-50,Scientist I,Bachelors or Equivalent,7,110000,10%,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2023 12:34:52,Maryland,Pharmaceutical (including “big pharma”),NA,Private,50-200,Senior Scientist,PhD or Equivalent,6,140000,21000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2023 17:09:09,Raleigh,Medical Devices,NA,Private,200-1000,Manager,PhD or Equivalent,8,155000,20000,25000,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2023 23:25:57,Bay Area,Pharmaceutical (including “big pharma”),NA,Private,5000+,Senior Scientist,PhD or Equivalent,3,155000,23000,12000,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/2/2023 0:51:24,San Diego,Medical Devices,NA,Public,5000+,Manager,Bachelors or Equivalent,4,155000,10%,50000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/2/2023 21:06:00,New Jersey,Pharmaceutical (including “big pharma”),NA,Private,1-50,Sr. Scientist,PhD or Equivalent,3,100000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/3/2023 13:13:15,Bay Area,Pharmaceutical (including “big pharma”),NA,Start-up,1-50,Senior Scientist 2,PhD or Equivalent,3,150000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/3/2023 13:21:07,South San Francisco,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Laboratory Manager,Bachelors or Equivalent,9,139500,10500,"2,400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/3/2023 13:39:53,New York,Pharmaceutical (including “big pharma”),NA,Public,5000+,Principal Scientist,PhD or Equivalent,3,155000,20000,20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/4/2023 0:27:54,Bay Area,Pharmaceutical (including “big pharma”),NA,Public,200-1000,Scientist,Masters or Equivalent,12,139000,"11,210",20000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/4/2023 17:05:28,Boston,Pharmaceutical (including “big pharma”),NA,Public,1000-5000,Principal scientist,PhD or Equivalent,7,160000,29000,60000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/5/2023 11:26:32,New York Metro Area,Pharmaceutical (including “big pharma”),NA,Public,5000+,Associate Scientist,PhD or Equivalent,1,125000,8000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/5/2023 14:03:34,Calgary,Academia/Research,NA,Academia/College/Universities,50-200,Bioinformatic Technician,Masters or Equivalent,1,66000,Not Applicable/None,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/6/2023 18:45:24,Boston,Pharmaceutical (including “big pharma”),NA,Public,50-200,Scientist I,PhD or Equivalent,0,125000,10,Not Applicable/None,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/9/2023 19:35:36,Boston,Pharmaceutical (including “big pharma”),NA,Private,50-200,Scientist,PhD or Equivalent,5,115000,12.50%,$46k over 4 years,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/9/2023 21:27:53,Boston,Pharmaceutical (including “big pharma”),NA,Start-up,50-200,Scientist I,Masters or Equivalent,5,127000,16000,Not Applicable/None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
